smiles,measured
CCC[C@H](NC(=O)OCC1=CC=CC=C1)C(=O)NC(CC(C)C)C(=O)N[C@@H](CC(C)C)C(C)=O,1
[O-][N+]1=C(C#N)C(=NO1)C2=CC(=CS2)C3=NO[N+](=C3C#N)[O-],1
CC1=C(C=CC(=C1)C2=CC(=C(C=C2)N=NC3=C(O)C4=C(C=C(C=C4N)[S]([O-])(=O)=O)C=C3[S]([O-])(=O)=O)C)N=NC5=C(O)C6=C(C=C(C=C6N)[S]([O-])(=O)=O)C=C5[S]([O-])(=O)=O,1
CCOC1=NC2=CC=CC(=C2[N]1CC3=CC=C(C=C3)C4=CC=CC=C4C5=NN=N[NH]5)C(=O)OC(C)OC(=O)OC6CCCCC6,1
CC1=CC(=CC=C1OCC(O)=O)SCC2=C(C)N=C(S2)C3=CC=C(C=C3C(F)(F)F)C(F)(F)F,1
FC(F)(F)C(=O)NC1=C(C(=O)NC2=CC(=CC=C2)Cl)C3=C(CCCC3)S1,1
[O-][N+](=O)C1=CC=C(C=C1)N2/N=C3/CN(CCN3C2=O)C(=O)C4=CC=C(Cl)C=C4,1
CC1=CC=CC=C1OCC2CN(CC3=C[NH]C4=CC=CC=C34)C(=O)C5=C(O2)C=CN=C5C6=CC=C(OCC(O)=O)C=C6,1
CCCCC[C@H](OC)C1=C(O)C2=C(C=C1O)C(=O)C3=C(C(=CC(=C3)O)O)C2=O,1
CC1=C(C#N)C2=NC(N)=C(C#N)C(C)=C2\C1=C/C3=CC=C(O3)C4=CC=CC=C4C(O)=O,1
[Na+].[O-]S(=O)(=O)OCCCCCCCCCCCCCC,1
BrC1=C(Br)C(=C2N=N[NH]C2=C1Br)Br,1
COC1=CC=C(C=C1C)C2=CSC(=N2)NC3=CC=C(C=C3)[S+]([O-])(=O)NC4=NOC(=C4)C,1
Cc1ccccc1S(=O)(=O)NC(=O)c5ccc(Cc3cn(C)c2ccc(cc23)NC(=O)OC4CCCC4)c(OC)c5,1
OC(=O)C1=C(Cl)C=CC(=C1)C2=CC=C(O2)\C=C(C#N)\C3=NC4=C([NH]3)C=CC=C4,1
BrC1=CC(\C=C(Br)C1=O)=C(/c2cc(Br)c(O)c(Br)c2)c3ccccc3C(=O)OCC,1
[Li+].FC(F)(C(F)(F)S([O-])(=O)=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1
CC(C)C1=CC=C2[N](CC3=CC=C(Cl)C=C3)C(=C(SC(C)(C)C)C2=C1)CC(C)(C)C([O-])=O,1
ClC1=CC=CC=C1CN2CC\C3=C(C2)\N(CC4=CC=CN=C4)N(C5=CC=CC=C5)C3=O,1
CC(C)(C)SC1=C(CC(C)(C)C(O)=O)[N](CC2=CC=C(Cl)C=C2)C3=C1C=C(OCC4=NC5=CC=CC=C5C=C4)C=C3,1
CC(C)CC(NC(=O)OCC1=CC=CC=C1)C(=O)NC(CC(C)C)C(=O)NC(CCC(O)=O)C(=O)NC2=CC3=C(C=CC=C3)C=C2,1
CC(C1=CC=CC=C1)C2=C(F)C=CC(=C2)C3=N[N](C4=NC(=CS4)C(O)=O)C(=C3CC5=CC=C(C(=C5)F)[S+](N)([O-])=O)CC6CC6,1
CCC[C@H](NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CC(C)C)NC(=O)OCC1=CC=CC=C1)C=O,1
CCN1\N=C(/N=C\2C(=O)N(C)C(=O)\N=C12)C3=CC=CC=C3C,1
CC1CC(=O)C2=C(O1)C=C3C(=C2O)C(=CC(=C3C4=C5C=C6OC(C)CC(=O)C6=C(O)C5=C(O)C=C4O)O)O,1
CCCC(=O)C1=C(O)C(=C(O)C(=C1O)C\C2=C(/O)C(C)(C)\C(=C(\C(C)=O)C2=O)O)C,1
CC1=CC(=CC=C1OCC2=NN=N[NH]2)SCC3=C(C)N=C(S3)C4=CC(=C(C=C4)C(F)(F)F)F,1
CC(C)c4c3cc(C)c(c1c(C)cc2c(c1O)c(C=O)c(O)c(O)c2C(C)C)c(O)c3c(C=O)c(O)c4O,1
CC(OC(=O)OC1CCCCC1)OC(=O)C2=C3N(CC4=CC=C(C=C4)C5=CC=CC=C5C6=NN=N[NH]6)C(=O)NC3=CC=C2,1
[O-][S+](=O)(N1CCC2=C1C=CC(=C2)C(=O)NC3=CC(=CC=C3Cl)C(F)(F)F)C4=CC=CC=C4,1
COC1CCC(=C\C1)/C2=C(F)C=CC(=C2)C3=N[N](C4=NC(=CS4)C(O)=O)C(=C3CC5=CC=C(C(=C5)F)[S+](N)([O-])=O)CC6CC6,1
OS(=O)(=O)C1=CC(=C2C(NC(=O)C3=CC=C(NC(=O)C4=CC=C(NC(=O)NC5=CC=C(C=C5)C(=O)NC6=CC=C(C=C6)C(=O)NC7=C8C(=CC(=CC8=C(C=C7)S(O)(=O)=O)S(O)(=O)=O)S(O)(=O)=O)C=C4)C=C3)=CC=C(C2=C1)S(O)(=O)=O)S(O)(=O)=O,1
CO[C@H]1C[C@H](O[C@@H](C)[C@H]1O)O[C@H]\2[C@@H](C)\C=C\C=C\3CO[C@@H]4C\C(=C/[C@@H](C(=O)O[C@H]5C[C@@H](C/C=C2C)O[C@@]6(CC[C@H](C)[C@H](O6)C7CCCCC7)C5)[C@]34O)C,1
[O-][S+](=O)(NC1=CC(=CC=C1C(=O)NC2=NC(=CS2)C3=CC=CC(=C3)F)C(F)(F)F)C4=CC=CC=C4C(F)(F)F,1
CC1=C(Cl)C(=CC(=C1)OCCCC2=C([NH]C3=CC(=CC=C23)Cl)C(=O)N[S+]([O-])(=O)CCNC(=O)C4=CC=CC=C4C(F)(F)F)C,1
[Na+].[Na+].[O-]S(=O)(=O)c1cc(ccc1O)C3(OC(=O)c2c(Br)c(Br)c(Br)c(Br)c23)c4ccc(O)c(c4)S([O-])(=O)=O,1
CN[C@H]1C(=O)N[C@@H]2CC3=CC=C(OC4=CC5=CC(=C4O[C@@H]6O[C@@H]([C@@H](O)[C@H](O)[C@H]6NC(=O)CCCCCCCCC(C)C)C(O)=O)OC7=CC=C(C=C7Cl)[C@@H](O)[C@@H]8NC(=O)[C@H](NC(=O)[C@@H]5NC(=O)[C@@H](NC2=O)C9=C(Cl)C(=CC(=C9)OC%10=C(O)C=CC1=C%10)O)C%11=CC=C(O)C(=C%11)C%12=C(O[C@H]%13O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]%13O)C=C(O)C=C%12[C@H](NC8=O)C(=O)NCCCN(C)C)C=C3,1
NCCC1=CC(O)=C(O)C=C1O,1
CC1=CC(=CC=C1OCC2=NN=N[NH]2)SCC3=C(C)N=C(S3)C4=C(C=C(Cl)C=C4)C(F)(F)F,1
COC(=O)C[C@H](NC(=O)[C@H](CCSC)NC(=O)[C@H](CCC(N)=O)NC(=O)[C@H](CC(=O)OC)NC(=O)OCC1=CC=CC=C1)C(=O)CF,1
CC(C)=CCCC\1(C)OC2=C(\C=C1)C(=C3C(=O)C/4=C/C5CC6C(C)(C)OC(C/C=C(C)/C(N)=O)(C5=O)C46OC3=C2CC=C(C)C)O,1
CO[C@@H]1C[C@@H](CC[C@H]1O)\C=C(/C)[C@H]2OC(=O)[C@@H]3CCCCN3C(=O)C(=O)[C@]4(O)O[C@@H]([C@H](C[C@H]4C)OC)[C@H](C[C@@H](C)C\C(C)=C\[C@@H](CCCSCCC(=O)NCCOCCOCCOCCN5N=NC6=C5C7=C(C=CC=C7)N(CC8=C6C=CC=C8)C(=O)CCNC(=O)C9=CC=C(C(=C9)C(O)=O)C%10=C%11C=CC(=[NH2+])C(=C%11OC%12=C(C(N)=CC=C%10%12)[S+](O)([O-])=O)S([O-])(=O)=O)C(=O)C[C@H](O)[C@H]2C)OC,1
CC1=CC(=CC=C1OCC(O)=O)SCC2=C(C)N=C(S2)C3=C(Cl)C=CC=C3Cl,1
CCCCCCCCCCCC(=O)OC[C@H](CO[P]([O-])(=O)OCC(O)CO)OC(=O)CCCCCCCCCCC,1
CC1=CC=C(C=C1NC(=S)NC(=O)C2=CC=C(COC3=CC=CC=C3)C=C2)C(O)=O,1
OC1=CC=C(O)C2=C1C(=O)\C(=C(Cl)/C2=O)Cl,1
O=C(O)c1cccc(c1)c4cccc(N\N=C2\C(=O)N(N=C2C)c3ccc(C)c(C)c3)c4O,1
CC1=CC(=CC=C1OCC(O)=O)SCC2=C(C)N=C(S2)C3=CC(=CC=C3Cl)Cl,1
O=C(O)Cc2cc(I)c(Oc1cc(I)c(O)cc1)c(I)c2,1
[Na+].[Na+].[O-]C(=O)c4ccccc4C=2c3cc(Br)c([O-])c(Br)c3OC=1C=2C=C(Br)C(=O)C=1Br,1
CC1=CC(=CC=C1OCC(O)=O)SCC2=C(C)N=C(S2)C3=CC(=CC=C3)C(F)(F)F,1
CN[S+]([O-])(=N)C1=CC=C(CC2=C(CC3CC3)[N](N=C2C4=CC(=C(F)C=C4)C5=CC(=CC=C5)F)C6=NC(=CS6)C(O)=O)C=C1F,1
CC1=C(O)C(=O)C=C2C1=CC=C3[C@@]2(C)CC[C@@]4(C)[C@@H]5C[C@@](C)(CC[C@]5(C)CC[C@]34C)C(O)=O,1
CCOC1=NC=C(C=C1)C2=CC=C(C[N]3C(=C(SC(C)(C)C)C4=CC(=CC=C34)OCC5=CC=C(C)C=N5)CC(C)(C)C([O-])=O)C=C2,1
COC1=CC(=CC=C1)[N]2N=C(C=C2C3=CC(=C(C=C3)C4CCCCC4)Cl)C(O)=O,1
CN1/N=C(\N=C/2C(=O)N(C)C(=O)/N=C12)C3=CC=C(C=C3)C(F)(F)F,1
COC1C(OC(=O)C2=CC=C(C)[NH]2)C(O)C(OC3=C(Cl)C4=C(C=C3)C(=O)\C(=C(\O)O4)NC(=O)C5=CC(=C(O)C=C5)CC=C(C)C)OC1(C)C,1
[Na+].[O-]S(=O)(=O)OCCCCCCCCCCCCCCCC,1
COC(=O)C1=CC=C(O)C2=NC3=C(N=C12)C(=CC(=C3C=O)O)O,1
CCCCCCCC\C=C\CCCCCCCCCC(O)=O,1
FC(F)(F)C1=CC(=CC(=C1)NC(=O)C2=C(N=C(Cl)N=C2)C(F)(F)F)C(F)(F)F,1
CC1CCC(=C\C1)/C2=C(F)C=CC(=C2)C3=N[N](C4=NC(=CS4)C(O)=O)C(=C3CC5=CC=C(C(=C5)F)[S+](N)([O-])=O)CC6CC6,1
CC(=O)[C@H]1CC[C@H]2[C@@H]3C\C=C4\C[C@H](CC[C@]4(C)[C@H]3CC[C@]12C)O[S+](O)([O-])=O,1
C[C@H](NC(=O)C1=CC2=C(C=C1)[N](CC3=CC=C(C=C3)C4=CC=CC=C4C(O)=O)C(=C2C)C)C5=CC=C(C=C5)[N+]([O-])=O,1
COC1=CC=C(CN2C(=O)NC(=O)\C(=C/C3=CC=CO3)C2=O)C=C1,1
O=C1CC(=O)N(CC2=CC=CO2)C(=O)N1,1
CC1(C2C1C(N(C2)C(=O)C(C(C)(C)C)NC(=O)C(F)(F)F)C(=O)NC(CC3CCNC3=O)C#N)C,1
OCCS\C1=C(/SCCO)C(=O)C2=C(C=CC=C2)C1=O,1
CC1=CC(=CC(=C1Cl)C)OCCCC2=C([NH]C3=C2C=CC(=C3C4=CC=CN=C4C)Cl)C(=O)N[S+]([O-])(=O)C5=CC=C(O5)C(=O)NCC6=CC(=CC=C6)C(F)(F)F,1
CC1=CC(=CC=C1OCC(O)=O)SCC2=C(C)N=C(S2)C3=CC=C(C=C3)C(F)(F)F,1
[O-][N+](=O)C1=CC=C(C=C1)C2=NO[N+](=C2C#N)[O-],1
CC(C)C[C@H](NC(=O)CNC(=O)OCC1=CC=CC=C1)C(=O)N[C@@H](CC2=CC=CC=C2)C(=O)CCl,1
CCCCCCCCCCCCCCCC(=O)O[C@H](CC(O)=O)C[N+](C)(C)C,1
[Na+].[Na+].[O-]c2c(Sc1cc(Cl)cc(Cl)c1[O-])cc(Cl)cc2Cl,1
CCCCCCCCCCCCCCCC[N+]1=C(C)[N](CC2=CC=CC=C2)C=C1,1
OC(=O)C1=CC=C(C=C1)N2C(=O)\C(=C\C3=CC=C(O3)C4=CC=C(C=C4)[N+]([O-])=O)C=C2C5=CC=CC=C5,1
[Cl-].COc1ccccc1C(=O)N(Cc2cccc[n+]2CC)C(=O)OC[C@@H](COC(=O)N3CCC(CC3)OC(=O)NCCCCCCCCCCCCCCCCCC)OC,1
OC(=O)C1=CC=C(C=C1)N2/N=C(CC3=CC=CC=C3)\C(=C/C4=CC=C(O4)C5=CC=CC=C5F)C2=O,1
CC(C)=CCCC\1(C)OC2=C(\C=C1)C(=C(CC=C(C)C)C3=C2C(=O)C/4=C/C5CC6C(C)(C)OC(C\C=C(C)\C(O)=O)(C5=O)[C@]46O3)OC(C)=O,1
[Na+].O=S([O-])(=O)c1ccc(CCCCCCCC)cc1,1
CCCCCCCOC1=C(C=C2C(=C1)[S+]([O-])(=O)CCC2(C)C)C(/C)=C/C3=CC=C(C=C3)C(O)=O,1
CC(C)CC(C(=O)NC(CC1CCNC1=O)C(O)S(=O)(=O)[O-])NC(=O)OCC2=CC=CC=C2.[Na+],1
CC(C)C1=C(O)C(O)=C(C=O)C2=C(O)C(=C(C)C=C12)C3=C(O)C4=C(C=O)C(O)=C(O)C(C(C)C)=C4C=C3C,1
CC1=CC=CC=C1C2=CC=C(COC3=CC=C4[N](CCC(O)=O)N=CC4=C3)C=C2,1
CC1(C)OC/2=C(\[C@H](NCC3=CC=CC=C3)[C@@H]1O)C(=O)C4=CC=CC=C4C2=O,1
OC(=O)C1=CC(=CC=C1Cl)C2=CC=C(O2)\C=C3/SC(=S)N(CC4=CC=CC=C4)C3=O,1
CC1=C(C(=CC(=C1)OCCC[S+](C)([O-])=O)C)C2=CC=CC(=C2)COC3=CC=C(C=C3)/C4=C/C(=O)N[S+]4[O-],1
CC1=C(C=C2C(=C1)C(C)(C)CCC2(C)C)C(=C)C3=CC=C(C=C3)C(O)=O,1
CCCCCCCCCCOC1=CC=C(OCC(=O)C[N]2C=C(C(=O)OC)C3=CC(=CC=C23)C(O)=O)C=C1,1
OC1=C(Br)C=C(C=C1Br)/C=C(C#N)/C2=N/C3=CC=CC=C3C(=O)N2,1
CN1\N=C(/N=C\2C(=O)N(C)C(=O)\N=C12)C3=CC=CN=C3,1
CC(/CC/C=C(C)/CCC(O)C(C)(C)O)=C\CC\C(C)=C\CC1(O)C(=O)C2=C(O)C=C(C)C3=C2C(=C(O)C(=C3O)C)C1=O,1
CC(C)=CCCC\1(C)OC2=C(CC=C(C)C)C3=C(C(=C2\C=C1)O)C(=O)C/4=C/CCC5C(C)(C)O[C@@](C\C=C(C)\C(O)=O)(C(O)=O)C45O3,1
COC1=CC=C(C=C1)C2=NC3=C(CC4=C(O3)C=CC=C4)C(SCC(=O)NC5=CC=C(C=C5)C(O)=O)=N2,1
OC(=O)COC1=CC=C(C=C1)C2=NC=CC3=C2C(=O)N(CC(COC4=CC=C(OC(F)(F)F)C=C4)O3)CC5=CC=CC(=C5)C(F)(F)F,1
CC(C)C1=C(OCC(=O)NC2=CC=C(C=C2)[S+]([O-])(=O)NC3=NOC(=C3)C)C=C(C)C(=C1)Br,1
CC1=CC=C(C=C1)C2=CC=C(COC3=CC=C4[N](CCC(O)=O)N=CC4=C3)C=C2,1
COC(=O)CC[C@H](NC(=O)[C@H](CC(=O)OC)NC(=O)OCC1=CC=CC=C1)C(=O)N[C@@H](C(C)C)C(=O)N[C@@H](CC(=O)OC)C(=O)CF,1
CC1=C(C(=CC(=C1)O[C@@H](CCC(F)(F)F)C2=CC=C(C=C2)C(=O)NCCC(O)=O)C)C3=CC=C(C=C3)C(C)(C)C,1
CC1=C(Cl)C(=CC(=C1)OCCCC2=C([NH]C(=C2C)C3=C(Cl)C(=CC=C3)Cl)C(=O)N[S+](C)([O-])=O)C,1
OC1=CC=C2C(=C1O)OCC\3(O)CC\4=C\C(=O)\C(=C/C4=C23)O,1
CN(C)C(=O)C1=C(NCCCOCCOCCOCCOCCOCCCNC(=O)C2=CC=C(C=C2)C3=C(F)C=CC(=C3)C4=N[N](C(=C4CC5=CC(=C(C=C5)[S+](N)([O-])=O)F)CC6CC6)C7=NC(=CS7)C(O)=O)C=C(C=C1)[N]8N=C(C)C9=C8CC(C)(C)CC9=O,1
[O-][N+]1=C(C#N)C(=NO1)C2=CC=CC(=C2)C3=NO[N+](=C3C#N)[O-],1
CC(C)CC(NC(=O)OCC1=CC=CC=C1)C(=O)NC(CC(C)C)C(=O)NC(CC2=CC=C(O)C=C2)C(=O)CF,1
CC1=CC(=CC=C1OCC(O)=O)SCC2=C(C)N=C(S2)C3=CC(=CC=C3)OC(F)(F)F,1
NC(=O)CC[C@@H]8C=2N=C(C(C)=C1[C@@H](CCC(N)=O)[C@](C)(CC(N)=O)[C@@](C)(N1[Co+]C#N)[C@@H]7N=C(C(C)=C3N=C(C=2)C(C)(C)[C@@H]3CCC(N)=O)[C@](C)(CCC(=O)NC[C@@H](C)OP([O-])(=O)O[C@@H]6[C@@H](CO)O[C@H](n5cnc4cc(C)c(C)cc45)[C@@H]6O)[C@H]7CC(N)=O)[C@@]8(C)CC(N)=O,1
OC1=CC2=C(C[C@@H](OC(=O)C3=CC(=C(O)C(=C3)O)O)[C@H](O2)C4=C(C(=C(O)C(=C4)O)O)C5=C(C=C(O)C(=C5O)O)[C@H]6OC7=C(C[C@H]6OC(=O)C8=CC(=C(O)C(=C8)O)O)C(=CC(=C7)O)O)C(=C1)O,1
N[S+]([O-])(=O)C1=C(F)C=C(CC2=C(CC3CC3)[N](N=C2C4=CC(=CC=C4)C(O)(C5CC5)C(F)(F)F)C6=NC(=CS6)C(O)=O)C=C1,1
N[S+]([O-])(=O)C1=CC=C(CC2=C(CC3CC3)[N](N=C2C4=CC(=C(F)C=C4)\C5=C\CC6(CC5)CC6)C7=NC(=CS7)C(O)=O)C=C1F,1
[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].CC1=C(NC(=O)C2=CC=CC(NC(=O)NC3=CC(=CC=C3)C(=O)NC4=C(C)C=CC(=C4)C(=O)NC5=CC=C(C6=C5C(=CC(=C6)S([O-])(=O)=O)S([O-])(=O)=O)S([O-])(=O)=O)=C2)C=C(C=C1)C(=O)NC7=CC=C(C8=C7C(=CC(=C8)S([O-])(=O)=O)S([O-])(=O)=O)S([O-])(=O)=O,1
COC1=CC=C(C=C1OC)C2=N[N](C)C(=C2)[C@H]3CN4CC[C@H]3C[C@@H]4CN[S+]([O-])(=O)C5=CC=CS5,1
CN1C=C2C=C(C(=CC2=N1)Cl)NC3=NC(=O)N(C(=O)N3CC4=CC(=C(C=C4F)F)F)CC5=NN(C=N5)C,1
OC(=O)C1=CC=C(C=C1)N\2C(=O)C(=C\C3=CC=C(O3)C4=CC=C(C=C4)[N+]([O-])=O)\C=C2C5=CC=CC=C5,1
CCCCCCCCCCCCCC(=O)N[C@H](CO)[C@H](O)C1=CC=C(C=C1)[N+]([O-])=O,1
OC1=C(Br)C=C(C=C2C(=O)NC3=C2C=C(I)C=C3)C=C1Br,1
[O-]S(=O)(=O)C1=C(C=CC(=C1)N=C=S)\C=C\C2=C(C=C(C=C2)N=C=S)S([O-])(=O)=O,1
OC1=CC(=C2CC(OC(=O)C3=CC(=C(O)C(=C3)O)O)C(OC2=C1)C/4=C/C5=C(C=C(O)C(=C5C(=O)/C(=C4)O)O)C6OC7=CC(=CC(=C7CC6OC(=O)C8=CC(=C(O)C(=C8)O)O)O)O)O,1
CCN1\N=C(/N=C\2C(=O)N(C)C(=O)\N=C12)C3=CC=C(C)C=C3,1
CC1=C(C)C=C(N[S+]([O-])(=O)C2=CC3=C(NC(C4C\C=C/C34)C5=CC=C(C=C5)C(O)=O)C=C2)C=C1,1
CCN(CC)CC1=C(O)C=CC(=C1)NC2=C3C=CC(=CC3=NC=C2)Cl,1
COCC[N]1C(=[N+](CC2=NC=CN=C2)C3=C1C(=O)C4=CC=CC=C4C3=O)C,1
Clc2c(Cc1c(O)c(Cl)cc(Cl)c1Cl)c(O)c(Cl)cc2Cl,1
OC1=C(C(=C(Cl)C=C1Cl)Cl)[S+]([O-])(=O)C2=C(O)C(=CC(=C2Cl)Cl)Cl,1
OC(=O)C1=CC=CC=C1NC(=O)/C(=C/C2=CC=C(O2)C3=CC(=CC=C3Cl)Cl)C#N,1
OC1=CC=C(C=C1)\C2=C\C(=O)C3=C(O2)C(=C(O)C=C3O)\C4=C(\OC5=C(C(=CC(=C5)O)O)C4=O)C6=CC=C(O)C=C6,1
[H][C@]12[C@]3([H])C=C(CO)C[C@]4(O)C(=O)C(C)=C[C@@]4([H])[C@@]3(O)[C@H](C)[C@@H](OC(=O)CCCCCCCCCCCCC)[C@@]1(OC(C)=O)C2(C)C,1
CC1=CC(=CC=C1OCC(O)=O)SCC2=C(C)N=C(S2)C3=CC=C(C(=C3)F)C(F)(F)F,1
CC1=CC=C(NC(=O)CN2C(=O)S\C(=C\C3=CC=C(O3)C4=CC(=CC=C4C)C(O)=O)C2=O)C=C1C,1
CC/1=C(/C(NC(=O)N1CCCCCC(O)=O)C2=CC=C(C=C2)C3=CC=CC=C3)C(=O)OCC4=CC=CC=C4,1
CCCCCCCCCC(=O)N[C@H](CCCNC(N)=N)C(=O)N[C@H](C(C)C)C(=O)N[C@H](CCCCN)C(=O)N[C@@H](CCCNC(N)=N)C(=O)CCl,1
CC1=C(CSC2=CC(C)=C(OC(C)(C)C(O)=O)C=C2)SC(=N1)C3=C(F)C=C(C=C3)C(F)(F)F,1
O=C1C2=CC=CC=C2[N+]3=C1C4=C(C=C3)C5=CC=CC=C5[NH]4,1
ClC1=C(NCCN2CCOCC2)C(=O)C3=C(C=CC=N3)C1=O,1
CC(C)C[C@H](NC(=O)OCC1=CC=CC=C1)C(=O)N[C@@H](CC2CCNC2=O)C(O)S([O-])(=O)=O,1
CCOC1=C(OCC)C=C(CCNC(=O)C2=CC3=C(C=CS3)[N]2CC4=CC=CC(=C4)C5=N[N](CCOCCOCCNC(=O)C6=C(C(=CC=C6)C(O)=O)C/7=C/8\C=C/C(=O)/C=C8OC9=CC(=CC=C79)O)N=N5)C=C1,1
CC(=O)OC1=C(OC(C)=O)C2=NON=C2C=C1,1
CCCCC1CCC(CCCC(C)CCC(O)=O)CC1,1
CCCCCC\C=C\CCCCCCCCCC(O)=O,1
CC(C)CC(C(=O)NC(CC1CCNC1=O)C(=O)CO)NC(=O)C2=CC3=C(N2)C=CC=C3OC,1
CCOC(=O)C1=CC=C(NC(=O)C2CC3=CC=CC=C3C(=O)O2)C=C1,1
CC(C)C[C@H](NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CC(C)C)NC(=O)OCC1=CC=CC=C1)C=O,1
C[N]1C(=CC2=C1C(=O)N(C(=O)N2CC(=O)NC3=CC=CC=C3F)C4=CC=C(F)C=C4)C,1
CC1=CC(=CC=C1OCC(O)=O)SCC2=C(C)N=C(S2)C3=CC=C(F)C(=C3)C(F)(F)F,1
CCCCCCCCC#CCCCCCCCC(O)=O,1
C[C@H](NC(=O)[C@H](CC1=CC=CC=C1)NC(=O)OCC2=CC=CC=C2)C(=O)CF,1
Cl[Hg]c1ccc(O)cc1,1
CC1=CC(=CC=C1OCC(O)=O)SCC2=C(C)N=C(S2)C3=CC(=C(Cl)C=C3)F,1
CC1=CC(=CC=C1OCC(O)=O)OCC2=C(C)N=C(S2)C3=CC(=C(C=C3)C(F)(F)F)F,1
COC1=CC=C(C(=C1)Cl)C2=CC=C(COC3=CC=C4[N](CCC(O)=O)N=CC4=C3)C=C2,1
CC1=CC=C(C)[N]1C2=CC=CC(=C2)C(O)=O,1
O=C(CCCCCCC/C=C\CCCCCCCC)N(C)CC(=O)O,1
